id,date,Minneapolis
1306,11/24/12,68
1307,11/24/12,62
1308,11/24/12,58
1309,11/25/12,58
1310,11/25/12,62
1311,11/25/12,67
1312,11/25/12,69
1313,11/25/12,71
1314,11/25/12,73
1315,11/25/12,75
1316,11/25/12,78
1317,11/25/12,85
1318,11/25/12,85
1319,11/25/12,85
1320,11/25/12,85
1321,11/25/12,85
1322,11/25/12,92
1323,11/25/12,85
1324,11/25/12,78
1325,11/25/12,72
1326,11/25/12,67
1327,11/25/12,67
1328,11/25/12,67
1329,11/25/12,58
1330,11/25/12,73
1331,11/25/12,50
1332,11/25/12,50
1333,11/26/12,50
1334,11/26/12,50
1335,11/26/12,58
1336,11/26/12,58
1337,11/26/12,58
1338,11/26/12,63
1339,11/26/12,63
1340,11/26/12,63
1341,11/26/12,58
1342,11/26/12,63
1343,11/26/12,68
1344,11/26/12,68
1345,11/26/12,74
1346,11/26/12,74
1347,11/26/12,74
1348,11/26/12,74
1349,11/26/12,74
1350,11/26/12,74
1351,11/26/12,79
1352,11/26/12,
1353,11/26/12,31
1354,11/26/12,63
1355,11/26/12,68
1356,11/26/12,68
1357,11/27/12,68
1358,11/27/12,74
1359,11/27/12,74
1360,11/27/12,68
1361,11/27/12,63
1362,11/27/12,63
1363,11/27/12,49
1364,11/27/12,48
